cod_regsaude;municipio
11001;110002
11001;110013
11001;110026
11001;110040
11001;110045
11001;110060
11001;110070
11001;110094
11001;110140
11002;110004
11002;110009
11002;110018
11002;110120
11002;110147
11002;110148
11003;110011
11003;110012
11003;110015
11003;110025
11003;110032
11003;110034
11003;110100
11003;110130
11003;110143
11003;110155
11003;110160
11003;110170
11003;110175
11003;110180
11004;110010
11004;110020
11004;110033
11004;110080
11004;110110
11005;110001
11005;110014
11005;110028
11005;110029
11005;110037
11005;110050
11005;110090
11005;110145
11006;110003
11006;110005
11006;110006
11006;110007
11006;110030
11006;110092
11006;110146
11007;110008
11007;110149
11007;110150
11000;110000
12001;120005
12001;120010
12001;120025
12001;120070
12002;120001
12002;120013
12002;120017
12002;120032
12002;120034
12002;120038
12002;120040
12002;120043
12002;120045
12002;120050
12002;120080
12003;120020
12003;120030
12003;120033
12003;120035
12003;120039
12003;120042
12003;120060
11000;119999
12000;120000
13001;130030
13001;130040
13001;130110
13001;130115
13001;130185
13001;130255
12000;129999
13001;130260
13001;130310
13001;130353
13001;130356
13001;130360
13001;130380
13002;130008
13002;130010
13002;130063
13002;130083
13002;130120
13002;130130
13002;130250
13002;130320
13003;130014
13003;130080
13003;130170
13003;130270
13003;130330
13004;130190
13004;130200
13004;130395
13004;130400
13004;130430
13004;130440
13005;130050
13005;130068
13005;130290
13005;130300
13001;132603
13005;130340
13006;130070
13006;130090
13006;130240
13006;130350
13006;130410
13007;130100
13007;130140
13007;130150
13007;130165
13007;130180
13007;130195
13005;133403
13008;130002
13008;130210
13008;130220
13008;130280
13008;130420
13008;130426
13009;130006
13009;130020
13009;130060
13009;130160
13009;130230
13009;130370
13009;130390
13009;130406
13009;130423
13008;130029
13000;130000
14001;140002
14001;140005
13000;139999
14001;140010
14001;140015
14001;140017
14001;140030
14001;140040
14001;140045
14001;140070
14002;140020
14002;140023
14002;140028
14002;140047
14002;140050
14002;140060
14000;140000
15001;150034
15001;150125
15001;150270
15001;150276
15001;150304
15001;150543
15001;150555
15001;150613
15001;150616
15001;150658
15001;150670
15001;150730
15001;150775
15001;150808
15001;150840
15002;150040
15002;150050
15002;150145
15002;150285
15002;150300
15002;150390
15002;150475
15002;150480
15002;150510
15002;150530
15002;150565
15002;150600
15002;150680
15002;150797
15003;150013
15003;150157
15003;150175
15003;150215
15003;150277
15003;150293
15003;150295
15003;150370
15003;150420
15003;150497
15003;150549
15003;150553
15003;150563
15003;150618
15003;150715
15003;150745
15003;150750
15004;150178
15004;150309
15004;150380
15004;150506
15004;150795
15004;150810
15006;150080
15006;150140
15006;150150
15006;150442
15006;150635
15007;150020
15007;150190
15007;150260
15007;150275
15007;150650
15007;150700
15007;150710
15007;150800
15007;150820
15008;150095
15008;150230
15008;150240
15008;150290
15008;150307
15008;150320
15008;150340
15008;150345
15008;150350
15008;150405
15008;150410
15008;150430
15008;150440
15008;150495
15008;150550
15008;150660
15008;150720
15008;150740
15008;150746
15008;150760
15008;150796
15008;150812
15009;150090
15009;150160
15009;150170
15009;150195
