Brasil;Brasil;0
Norte ;Norte ;1
Rondônia;Rond?nia;1ro
Acre;Acre;1ac
Amazonas;Amazonas;1am
Roraima;Roraima;1rr
Pará;Par?;1pa
Amapá;Amap?;1ap
Tocantins;Tocantins;1to
Nordeste;Nordeste;2
Maranhão;Maranh?o;2ma
Piauí;Piau?;2pi
Ceará;Cear?;2ce
Rio Grande do Norte;Rio Grande do Norte;2rn
Paraíba;Para?ba;2pb
Pernambuco;Pernambuco;2pe
Alagoas;Alagoas;2al
Sergipe;Sergipe;2se
Bahia;Bahia;2ba
Sudeste;Sudeste;4
Minas Gerais;Minas Gerais;4mg
Espírito Santo;Esp?rito Santo;4es
Rio de Janeiro;Rio de Janeiro;4rj
São Paulo;S?o Paulo;4sp
Sul;Sul;5
Paraná;Paran?;5pr
Santa Catarina;Santa Catarina;5rs
Rio Grande do Sul;Rio Grande do Sul;5sc
Centro-Oeste;Centro-Oeste;3
Mato Grosso do Sul;Mato Grosso do Sul;3ms
Mato Grosso;Mato Grosso;3mt
Goiás;Goi?s;3go
Distrito Federal;Distrito Federal;3df
