1 - Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 - Número de Instituições de Educação Superior, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;;  IF e CEFET ;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil;;;2.314;839;1.475;186;87;99;127;49;78;1.966;679;1.287;35;24;11;;;;;;;;;;;;;;;;;;;;;;
;Pública;;245;89;156;100;49;51;7;1;6;103;15;88;35;24;11;;;;;;;;;;;;;;;;;;;;;;
;;Federal;94;58;36;55;31;24;. ;. ;. ;4;3;1;35;24;11;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;84;31;53;38;18;20;1;1;. ;45;12;33;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;67;. ;67;7;. ;7;6;. ;6;54;. ;54;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;2.069;750;1.319;86;38;48;120;48;72;1.863;664;1.199;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;1.779;658;1.121;44;24;20;82;39;43;1.653;595;1.058;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;290;92;198;42;14;28;38;9;29;210;69;141;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norte;;;147;91;56;14;14;. ;9;6;3;119;66;53;5;5;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;19;18;1;13;13;. ;1;. ;1;. ;. ;. ;5;5;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;13;13;. ;8;8;. ;. ;. ;. ;. ;. ;. ;5;5;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;5;5;. ;5;5;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;1;. ;1;. ;. ;. ;1;. ;1;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;128;73;55;1;1;. ;8;6;2;119;66;53;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;111;61;50;1;1;. ;4;4;. ;106;56;50;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;17;12;5;. ;. ;. ;4;2;2;13;10;3;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rondônia;;;30;14;16;1;1;. ;1;. ;1;27;12;15;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;28;12;16;. ;. ;. ;1;. ;1;27;12;15;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;25;10;15;. ;. ;. ;. ;. ;. ;25;10;15;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;3;2;1;. ;. ;. ;1;. ;1;2;2;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Acre;;;10;9;1;1;1;. ;. ;. ;. ;9;8;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
