3 - Cursos Graduação Presenciais;;;;;;;;;;;;;;;;;
3.1 - Número de Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Número de Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
Brasil;;;27.827;10.386;17.441;13.865;5.140;8.725;3.580;1.513;2.067;9.897;3.507;6.390;485;226;259
;Pública;;8.228;2.742;5.486;7.161;2.447;4.714;93;10;83;489;59;430;485;226;259
;;Federal;4.368;2.085;2.283;3.868;1.849;2.019;. ;. ;. ;15;10;5;485;226;259
;;Estadual;3.126;657;2.469;2.931;598;2.333;10;10;. ;185;49;136;. ;. ;. 
;;Municipal;734;. ;734;362;. ;362;83;. ;83;289;. ;289;. ;. ;. 
;Privada;;19.599;7.644;11.955;6.704;2.693;4.011;3.487;1.503;1.984;9.408;3.448;5.960;. ;. ;. 
;;Particular;15.049;6.544;8.505;4.078;2.061;2.017;2.412;1.277;1.135;8.559;3.206;5.353;. ;. ;. 
;;Comun/Confes;4.550;1.100;3.450;2.626;632;1.994;1.075;226;849;849;242;607;. ;. ;. 
;;;;;;;;;;;;;;;;;
Norte;;;2.004;1.102;902;1.038;423;615;233;183;50;678;454;224;55;42;13
;Pública;;1.041;406;635;971;364;607;15;. ;15;. ;. ;. ;55;42;13
;;Federal;682;310;372;627;268;359;. ;. ;. ;. ;. ;. ;55;42;13
;;Estadual;344;96;248;344;96;248;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;15;. ;15;. ;. ;. ;15;. ;15;. ;. ;. ;. ;. ;. 
;Privada;;963;696;267;67;59;8;218;183;35;678;454;224;. ;. ;. 
;;Particular;820;604;216;67;59;8;127;127;. ;626;418;208;. ;. ;. 
;;Comun/Confes;143;92;51;. ;. ;. ;91;56;35;52;36;16;. ;. ;. 
;;;;;;;;;;;;;;;;;
Rondônia;;;240;114;126;48;26;22;22;. ;22;168;88;80;2;. ;2
;Pública;;50;26;24;48;26;22;. ;. ;. ;. ;. ;. ;2;. ;2
;;Federal;50;26;24;48;26;22;. ;. ;. ;. ;. ;. ;2;. ;2
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;190;88;102;. ;. ;. ;22;. ;22;168;88;80;. ;. ;. 
;;Particular;160;80;80;. ;. ;. ;. ;. ;. ;160;80;80;. ;. ;. 
;;Comun/Confes;30;8;22;. ;. ;. ;22;. ;22;8;8;. ;. ;. ;. 
Acre;;;150;79;71;110;41;69;. ;. ;. ;40;38;2;. ;. ;. 
;Pública;;110;41;69;110;41;69;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;110;41;69;110;41;69;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;40;38;2;. ;. ;. ;. ;. ;. ;40;38;2;. ;. ;. 
;;Particular;36;34;2;. ;. ;. ;. ;. ;. ;36;34;2;. ;. ;. 
;;Comun/Confes;4;4;. ;. ;. ;. ;. ;. ;. ;4;4;. ;. ;. ;. 
Amazonas;;;581;372;209;356;147;209;135;135;. ;77;77;. ;13;13;. 
;Pública;;338;129;209;325;116;209;. ;. ;. ;. ;. ;. ;13;13;. 
;;Federal;109;78;31;96;65;31;. ;. ;. ;. ;. ;. ;13;13;. 
;;Estadual;229;51;178;229;51;178;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;243;243;. ;31;31;. ;135;135;. ;77;77;. ;. ;. ;. 
;;Particular;204;204;. ;31;31;. ;110;110;. ;63;63;. ;. ;. ;. 
;;Comun/Confes;39;39;. ;. ;. ;. ;25;25;. ;14;14;. ;. ;. ;. 
