5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
Brasil;;;5.115.896;2.433.016;2.682.880;2.715.720;1.341.392;1.374.328;711.328;366.628;344.700;1.634.115;692.963;941.152;54.733;32.033;22.700
;Pública;;1.351.168;586.151;765.017;1.190.596;540.753;649.843;13.849;869;12.980;91.990;12.496;79.494;54.733;32.033;22.700
;;Federal;752.847;453.023;299.824;696.693;420.161;276.532;. ;. ;. ;1.421;829;592;54.733;32.033;22.700
;;Estadual;480.145;133.128;347.017;437.044;120.592;316.452;869;869;. ;42.232;11.667;30.565;. ;. ;. 
;;Municipal;118.176;. ;118.176;56.859;. ;56.859;12.980;. ;12.980;48.337;. ;48.337;. ;. ;. 
;Privada;;3.764.728;1.846.865;1.917.863;1.525.124;800.639;724.485;697.479;365.759;331.720;1.542.125;680.467;861.658;. ;. ;. 
;;Particular;2.899.763;1.534.602;1.365.161;958.000;570.096;387.904;515.428;321.445;193.983;1.426.335;643.061;783.274;. ;. ;. 
;;Comun/Confes;864.965;312.263;552.702;567.124;230.543;336.581;182.051;44.314;137.737;115.790;37.406;78.384;. ;. ;. 
;;;;;;;;;;;;;;;;;
Norte;;;313.959;221.312;92.647;134.135;85.964;48.171;59.669;49.240;10.429;115.719;82.788;32.931;4.436;3.320;1.116
;Pública;;128.689;76.894;51.795;118.755;73.574;45.181;5.498;. ;5.498;. ;. ;. ;4.436;3.320;1.116
;;Federal;91.263;61.322;29.941;86.827;58.002;28.825;. ;. ;. ;. ;. ;. ;4.436;3.320;1.116
;;Estadual;31.928;15.572;16.356;31.928;15.572;16.356;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;5.498;. ;5.498;. ;. ;. ;5.498;. ;5.498;. ;. ;. ;. ;. ;. 
;Privada;;185.270;144.418;40.852;15.380;12.390;2.990;54.171;49.240;4.931;115.719;82.788;32.931;. ;. ;. 
;;Particular;162.501;129.443;33.058;15.380;12.390;2.990;41.850;41.850;. ;105.271;75.203;30.068;. ;. ;. 
;;Comun/Confes;22.769;14.975;7.794;. ;. ;. ;12.321;7.390;4.931;10.448;7.585;2.863;. ;. ;. 
;;;;;;;;;;;;;;;;;
Rondônia;;;35.406;18.411;16.995;7.049;3.606;3.443;3.018;. ;3.018;25.127;14.805;10.322;212;. ;212
;Pública;;7.261;3.606;3.655;7.049;3.606;3.443;. ;. ;. ;. ;. ;. ;212;. ;212
;;Federal;7.261;3.606;3.655;7.049;3.606;3.443;. ;. ;. ;. ;. ;. ;212;. ;212
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;28.145;14.805;13.340;. ;. ;. ;3.018;. ;3.018;25.127;14.805;10.322;. ;. ;. 
;;Particular;24.120;13.798;10.322;. ;. ;. ;. ;. ;. ;24.120;13.798;10.322;. ;. ;. 
;;Comun/Confes;4.025;1.007;3.018;. ;. ;. ;3.018;. ;3.018;1.007;1.007;. ;. ;. ;. 
Acre;;;16.951;12.782;4.169;9.827;6.018;3.809;. ;. ;. ;7.124;6.764;360;. ;. ;. 
;Pública;;9.827;6.018;3.809;9.827;6.018;3.809;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;9.827;6.018;3.809;9.827;6.018;3.809;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;7.124;6.764;360;. ;. ;. ;. ;. ;. ;7.124;6.764;360;. ;. ;. 
;;Particular;6.315;5.955;360;. ;. ;. ;. ;. ;. ;6.315;5.955;360;. ;. ;. 
