6 - Concluintes;;;;;;;;;;;;;;;;;
6.1 - Número de Concluintes em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Concluintes em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
Brasil;;;826.928;369.451;457.477;427.044;203.989;223.055;138.242;66.310;71.932;256.677;96.289;160.388;4.965;2.863;2.102
;Pública;;187.804;78.457;109.347;163.051;72.171;90.880;2.283;18;2.265;17.505;3.405;14.100;4.965;2.863;2.102
;;Federal;91.576;60.792;30.784;86.348;57.802;28.546;. ;. ;. ;263;127;136;4.965;2.863;2.102
;;Estadual;75.910;17.665;58.245;67.423;14.369;53.054;18;18;. ;8.469;3.278;5.191;. ;. ;. 
;;Municipal;20.318;. ;20.318;9.280;. ;9.280;2.265;. ;2.265;8.773;. ;8.773;. ;. ;. 
;Privada;;639.124;290.994;348.130;263.993;131.818;132.175;135.959;66.292;69.667;239.172;92.884;146.288;. ;. ;. 
;;Particular;493.263;239.871;253.392;174.197;95.116;79.081;100.271;57.742;42.529;218.795;87.013;131.782;. ;. ;. 
;;Comun/Confes;145.861;51.123;94.738;89.796;36.702;53.094;35.688;8.550;27.138;20.377;5.871;14.506;. ;. ;. 
;;;;;;;;;;;;;;;;;
Norte;;;43.592;30.929;12.663;19.416;12.318;7.098;9.063;7.566;1.497;14.710;10.674;4.036;403;371;32
;Pública;;18.241;10.885;7.356;17.036;10.514;6.522;802;. ;802;. ;. ;. ;403;371;32
;;Federal;13.212;9.069;4.143;12.809;8.698;4.111;. ;. ;. ;. ;. ;. ;403;371;32
;;Estadual;4.227;1.816;2.411;4.227;1.816;2.411;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;802;. ;802;. ;. ;. ;802;. ;802;. ;. ;. ;. ;. ;. 
;Privada;;25.351;20.044;5.307;2.380;1.804;576;8.261;7.566;695;14.710;10.674;4.036;. ;. ;. 
;;Particular;21.989;17.576;4.413;2.380;1.804;576;6.265;6.265;. ;13.344;9.507;3.837;. ;. ;. 
;;Comun/Confes;3.362;2.468;894;. ;. ;. ;1.996;1.301;695;1.366;1.167;199;. ;. ;. 
;;;;;;;;;;;;;;;;;
Rondônia;;;4.605;2.062;2.543;844;399;445;483;. ;483;3.247;1.663;1.584;31;. ;31
;Pública;;875;399;476;844;399;445;. ;. ;. ;. ;. ;. ;31;. ;31
;;Federal;875;399;476;844;399;445;. ;. ;. ;. ;. ;. ;31;. ;31
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;3.730;1.663;2.067;. ;. ;. ;483;. ;483;3.247;1.663;1.584;. ;. ;. 
;;Particular;3.055;1.471;1.584;. ;. ;. ;. ;. ;. ;3.055;1.471;1.584;. ;. ;. 
;;Comun/Confes;675;192;483;. ;. ;. ;483;. ;483;192;192;. ;. ;. ;. 
Acre;;;2.200;2.035;165;740;671;69;. ;. ;. ;1.460;1.364;96;. ;. ;. 
;Pública;;740;671;69;740;671;69;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;740;671;69;740;671;69;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;1.460;1.364;96;. ;. ;. ;. ;. ;. ;1.460;1.364;96;. ;. ;. 
;;Particular;1.231;1.135;96;. ;. ;. ;. ;. ;. ;1.231;1.135;96;. ;. ;. 
;;Comun/Confes;229;229;. ;. ;. ;. ;. ;. ;. ;229;229;. ;. ;. ;. 
Amazonas;;;13.367;11.728;1.639;5.427;3.788;1.639;5.947;5.947;. ;1.924;1.924;. ;69;69;. 
;Pública;;4.469;2.830;1.639;4.400;2.761;1.639;. ;. ;. ;. ;. ;. ;69;69;. 
