IES_ID;IES_NAME
1;UNIVERSIDADE FEDERAL DE MATO GROSSO
2;UNIVERSIDADE DE BRASÍLIA
3;UNIVERSIDADE FEDERAL DE SERGIPE
4;UNIVERSIDADE FEDERAL DO AMAZONAS
5;UNIVERSIDADE FEDERAL DO PIAUÍ
6;UNIVERSIDADE FEDERAL DE OURO PRETO
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS
8;UNIVERSIDADE FEDERAL DE VIÇOSA
9;UNIVERSIDADE ESTADUAL DE LONDRINA
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO
12;UNIVERSIDADE FEDERAL DO RIO GRANDE
13;UNIVERSIDADE DE CAXIAS DO SUL
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS
16;UNIVERSIDADE GAMA FILHO
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA
18;UNIVERSIDADE CATÓLICA DE PELOTAS
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS
20;UNIVERSIDADE DE PASSO FUNDO
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL
22;UNIVERSIDADE PRESBITERIANA MACKENZIE
23;UNIVERSIDADE FEEVALE
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ
26;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS
27;UNIVERSIDADE VALE DO RIO VERDE
29;UNIVERSIDADE ESTADUAL DO CEARÁ
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO
31;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG
32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL
33;FACULDADE DE TECNOLOGIA DE SOROCABA
34;FACULDADE DE TECNOLOGIA DE SÃO PAULO
35;FACULDADE DE TECNOLOGIA DE AMERICANA
36;FACULDADE DE TECNOLOGIA RUBENS LARA
37;FACULDADE DE TECNOLOGIA DE JAHU
38;UNIVERSIDADE DO ESTADO DO PARÁ
