"HS96","HS96part","HS02","HS02part","Comment"
"0101.11",0,"0101.10",1,
"0101.19",0,"0101.90",1,
"0101.20",1,"0101.10",1,
"0101.20",1,"0101.90",1,
"0102.10",0,"0102.10",0,
"0102.90",0,"0102.90",0,
"0103.10",0,"0103.10",0,
"0103.91",0,"0103.91",0,
"0103.92",0,"0103.92",0,
"0104.10",0,"0104.10",0,
"0104.20",0,"0104.20",0,
"0105.11",0,"0105.11",0,
"0105.12",0,"0105.12",0,
"0105.19",0,"0105.19",0,
"0105.92",0,"0105.92",0,
"0105.93",0,"0105.93",0,
"0105.99",0,"0105.99",0,
"0106.00",1,"0106.11",0,
"0106.00",1,"0106.12",0,
"0106.00",1,"0106.19",0,
"0106.00",1,"0106.20",0,
"0106.00",1,"0106.31",0,
"0106.00",1,"0106.32",0,
"0106.00",1,"0106.39",0,
"0106.00",1,"0106.90",0,
"0201.10",0,"0201.10",0,
"0201.20",0,"0201.20",0,
"0201.30",0,"0201.30",0,
"0202.10",0,"0202.10",0,
"0202.20",0,"0202.20",0,
"0202.30",0,"0202.30",0,
"0203.11",0,"0203.11",0,
"0203.12",0,"0203.12",0,
"0203.19",0,"0203.19",0,
"0203.21",0,"0203.21",0,
"0203.22",0,"0203.22",0,
"0203.29",0,"0203.29",0,
"0204.10",0,"0204.10",0,
"0204.21",0,"0204.21",0,
"0204.22",0,"0204.22",0,
"0204.23",0,"0204.23",0,
"0204.30",0,"0204.30",0,
"0204.41",0,"0204.41",0,
"0204.42",0,"0204.42",0,
"0204.43",0,"0204.43",0,
"0204.50",0,"0204.50",0,
"0205.00",0,"0205.00",0,
"0206.10",0,"0206.10",0,
"0206.21",0,"0206.21",0,
"0206.22",0,"0206.22",0,
"0206.29",0,"0206.29",0,
"0206.30",0,"0206.30",0,
"0206.41",0,"0206.41",0,
"0206.49",0,"0206.49",0,
"0206.80",0,"0206.80",0,
"0206.90",0,"0206.90",0,
"0207.11",0,"0207.11",0,
"0207.12",0,"0207.12",0,
"0207.13",0,"0207.13",0,
"0207.14",0,"0207.14",0,
"0207.24",0,"0207.24",0,
"0207.25",0,"0207.25",0,
"0207.26",0,"0207.26",0,
"0207.27",0,"0207.27",0,
"0207.32",0,"0207.32",0,
"0207.33",0,"0207.33",0,
"0207.34",0,"0207.34",0,
"0207.35",0,"0207.35",0,
"0207.36",0,"0207.36",0,
"0208.10",0,"0208.10",0,
"0208.20",0,"0208.20",0,
"0208.90",1,"0208.30",0,
"0208.90",1,"0208.40",0,
"0208.90",1,"0208.50",0,
"0208.90",1,"0208.90",0,
"0209.00",0,"0209.00",0,
"0210.11",0,"0210.11",0,
"0210.12",0,"0210.12",0,
"0210.19",0,"0210.19",0,
"0210.20",0,"0210.20",0,
"0210.90",1,"0210.91",0,
"0210.90",1,"0210.92",0,
"0210.90",1,"0210.93",0,
"0210.90",1,"0210.99",0,
"0301.10",0,"0301.10",0,
"0301.91",0,"0301.91",0,
"0301.92",0,"0301.92",0,
"0301.93",0,"0301.93",0,
"0301.99",0,"0301.99",0,
"0302.11",0,"0302.11",0,
"0302.12",0,"0302.12",0,
"0302.19",0,"0302.19",0,
"0302.21",0,"0302.21",0,
"0302.22",0,"0302.22",0,
"0302.23",0,"0302.23",0,
"0302.29",0,"0302.29",0,
"0302.31",0,"0302.31",0,
"0302.32",0,"0302.32",0,
"0302.33",0,"0302.33",0,
"0302.39",1,"0302.34",0,
"0302.39",1,"0302.35",0,
"0302.39",1,"0302.36",0,
