HS96;HS02
0101;0101
0102;0102
0103;0103
0104;0104
0105;0105
0106;0106
0201;0201
0202;0202
0203;0203
0204;0204
0205;0205
0206;0206
0207;0207
0208;0208
0209;0209
0210;0210
0301;0301
0302;0302
0303;0303
0304;0304
0305;0305
0306;0306
0307;0307
0401;0401
0402;0402
0403;0403
0404;0404
0405;0405
0406;0406
0407;0407
0408;0408
0409;0409
0410;0410
0501;0501
0502;0502
0503;0503
0504;0504
0505;0505
0506;0506
0507;0507
0508;0508
0509;0509
0510;0510
0511;0511
0601;0601
0602;0602
0603;0603
0604;0604
0701;0701
0702;0702
0703;0703
0704;0704
0705;0705
0706;0706
0707;0707
0708;0708
0709;0709
0710;0710
0711;0711
0712;0712
0713;0713
0714;0714
0801;0801
0802;0802
0803;0803
0804;0804
0805;0805
0806;0806
0807;0807
0808;0808
0809;0809
0810;0810
0811;0811
0812;0812
0813;0813
0814;0814
0901;0901
0902;0902
0903;0903
0904;0904
0905;0905
0906;0906
0907;0907
0908;0908
0909;0909
0910;0910
1001;1001
1002;1002
1003;1003
1004;1004
1005;1005
1006;1006
1007;1007
1008;1008
1101;1101
1102;1102
1103;1103
1104;1104
1105;1105
1106;1106
1107;1107
1108;1108
1109;1109
1201;1201
1202;1202
1203;1203
1204;1204
1205;1205
1206;1206
1207;1207
1208;1208
1209;1209
1210;1210
1211;1211
1212;1212
1213;1213
1214;1214
1301;1301
1302;1302
1302;2939
1401;1401
1402;1402
1403;1403
1404;1404
1501;1501
1502;1502
1503;1503
1504;1504
1505;1505
1506;1506
1507;1507
1508;1508
1509;1509
1510;1510
1511;1511
1512;1512
1513;1513
1514;1514
1515;1515
1516;1516
1517;1517
1518;1518
1520;1520
1521;1521
1522;1522
1601;1601
1602;1602
1603;1603
1604;1604
1605;1605
1701;1701
1702;1702
1703;1703
1704;1704
1801;1801
1802;1802
1803;1803
1804;1804
1805;1805
1806;1806
1901;1901
1902;1902
1903;1903
1904;1904
1905;1905
2001;2001
2002;2002
2003;2003
2004;2004
2005;2005
2006;2006
2007;2007
2008;2008
2009;2009
2101;2101
2102;2102
2103;2103
2104;2104
2105;2105
2106;2106
2201;2201
2202;2202
2203;2203
2204;2204
2205;2205
2206;2206
2207;2207
2208;2208
2209;2209
2301;2301
2302;2302
2303;2303
2304;2304
2305;2305
2306;2306
2307;2307
2308;2308
2309;2309
2401;2401
2402;2402
2403;2403
2501;2501
2502;2502
2503;2503
2504;2504
2505;2505
2506;2506
2507;2507
2508;2508
2509;2509
2510;2510
2511;2511
2512;2512
2513;2513
2514;2514
2515;2515
2516;2516
2517;2517
2518;2518
2519;2519
2520;2520
2521;2521
2522;2522
2523;2523
2524;2524
2525;2525
2526;2526
2527;2530
2528;2528
2529;2529
2530;2530
2601;2601
2602;2602
2603;2603
2604;2604
2605;2605
2606;2606
2607;2607
2608;2608
2609;2609
2610;2610
2611;2611
2612;2612
2613;2613
2614;2614
2615;2615
2616;2616
2617;2617
2618;2618
2619;2619
2620;2620
2621;2620
2621;2621
2701;2701
2702;2702
2703;2703
2704;2704
2705;2705
2706;2706
2707;2707
2708;2708
2709;2709
2710;2710
2711;2711
2712;2712
2713;2713
2714;2714
2715;2715
2716;2716
2801;2801
2802;2802
2803;2803
2804;2804
2805;2805
2806;2806
2807;2807
2808;2808
2809;2809
2810;2810
2811;2811
2812;2812
2813;2813
2814;2814
2815;2815
2816;2816
2817;2817
2818;2818
2819;2819
2820;2820
2821;2821
2822;2822
2823;2823
2824;2824
2825;2825
2826;2826
2827;2827
2828;2828
2829;2829
2830;2830
2831;2831
2832;2832
2833;2833
2834;2834
2835;2835
2836;2836
2837;2837
2838;2838
2839;2839
2840;2840
2841;2841
2842;2842
2843;2843
2844;2844
2845;2845
2846;2846
2847;2847
2848;2848
2849;2849
2850;2850
2851;2851
2901;2901
2902;2902
2903;2903
2904;2904
2905;2905
2906;2906
2907;2907
2908;2908
2909;2909
2910;2910
2911;2911
2912;2912
2913;2913
2914;2914
2914;2937
2915;2915
2916;2916
2917;2917
2918;2918
2918;2937
2919;2919
2920;2920
2921;2921
2922;2922
2922;2937
2923;2923
2924;2924
2925;2925
2926;2926
2927;2927
2928;2928
2929;2929
2930;2930
2931;2931
2932;2932
2933;2933
2933;2937
2934;2934
2934;2937
2935;2935
2936;2936
2937;2937
2938;2938
2939;2939
2940;2940
2941;2941
2942;2942
3001;3001
3001;3006
3002;3002
3002;3006
3003;3003
3003;3006
3004;3004
3004;3006
3005;3005
3005;3006
3005;3825
3006;3006
3101;3101
3102;3102
3103;3103
3104;3104
3105;3105
3201;3201
3202;3202
3203;3203
3204;3204
3205;3205
3206;3206
3207;3207
3208;3208
3209;3209
3210;3210
3211;3211
3212;3212
3213;3213
3214;3214
3215;3215
3301;3301
3302;3302
3303;3303
3304;3304
3305;3305
3306;3306
3307;3307
3401;3401
3402;3402
3402;3401
3403;3403
3404;3404
3405;3405
3406;3406
3407;3407
3501;3501
3502;3502
3503;3503
3504;3504
3505;3505
3506;3506
3507;3507
3601;3601
3602;3602
3603;3603
3604;3604
3605;3605
3606;3606
3701;3701
3702;3702
3703;3703
3704;3704
3705;3705
3706;3706
3707;3707
3801;3801
3802;3802
3803;3803
3804;3804
3805;3805
3806;3806
3807;3807
3808;3808
3809;3809
3810;3810
3811;3811
3812;3812
3813;3813
3814;3814
3815;3815
3816;3816
3817;3817
3818;3818
3819;3819
3820;3820
3821;3821
3822;3822
Cert;whi
3823;3823
3824;3824
3824;2842
3824;3006
3824;3825
3901;3901
3902;3902
3903;3903
3904;3904
3905;3905
3906;3906
3907;3907
3908;3908
3909;3909
3910;3910
3911;3911
3912;3912
3913;3913
3914;3914
3915;3915
3916;3916
3917;3917
3918;3918
3919;3919
3920;3920
3921;3921
3922;3922
3923;3923
3924;3924
3925;3925
3926;3926
4001;4001
4002;4002
4003;4003
4004;4004
4005;4005
4006;4006
4007;4007
4008;4008
4009;4009
4010;4010
4011;4011
4012;4012
4013;4013
4014;4014
4015;3825
4015;4015
4016;4016
4017;4017
4101;4101
4102;4102
4103;4103
4104;4101
4104;4104
4104;4107
4105;4102
4105;4105
4105;4112
4106;4103
4106;4106
4106;4113
4107;4103
4107;4106
4107;4113
4108;4114
4109;4114
4110;4115
4111;4115
4201;4201
4202;4202
4203;4203
4204;4204
4205;4205
4206;4206
4301;4301
4302;4302
4303;4303
4304;4304
4401;4401
4402;4402
4403;4403
4404;4404
4405;4405
4406;4406
4407;4407
4408;4408
4409;4409
4410;4410
4411;4411
4412;4408
4412;4412
4413;4413
4414;4414
4415;4415
4416;4416
4417;4417
4418;4418
4419;4419
4420;4420
4421;4421
4501;4501
4502;4502
4503;4503
4504;4504
4601;4601
4602;4602
4701;4701
4702;4702
4703;4703
4704;4704
4705;4705
4706;4706
4707;4707
4801;4801
4801;4802
4802;4802
4803;4803
4804;4804
4804;4823
4805;4805
4805;4823
4805;4802
4806;4806
4806;4823
4807;4807
4807;4823
4808;4808
4808;4823
4809;4809
4810;4810
4811;4811
4812;4812
4813;4813
4814;4814
4815;4815
4816;4816
4817;4817
4818;4818
4819;4819
4820;4820
4821;4821
4822;4822
4823;4811
4823;4823
4823;4810
4823;4802
4901;4901
4902;4902
4903;4903
4904;4904
4905;4905
4906;4906
4907;4907
4908;4908
4909;4909
4910;4910
4911;4911
5001;5001
5002;5002
5003;5003
5004;5004
5005;5005
5006;5006
5007;5007
5101;5101
5102;5102
5103;5103
5104;5104
5105;5105
5106;5106
5107;5107
5108;5108
5109;5109
5110;5110
5111;5111
5112;5112
5113;5113
5201;5201
5202;5202
5203;5203
5204;5204
5205;5205
5206;5206
5207;5207
5208;5208
5209;5209
5210;5210
5211;5211
5212;5212
5301;5301
5302;5302
5303;5303
5304;5304
5305;5305
5306;5306
5307;5307
5308;5308
5309;5309
5310;5310
5311;5311
5401;5401
5402;5402
5403;5403
5404;5404
5405;5405
5406;5406
5407;5407
5408;5408
5501;5501
5502;5502
5503;5503
5504;5504
5505;5505
5506;5506
5507;5507
5508;5508
5509;5509
5510;5510
5511;5511
5512;5512
5513;5513
5514;5514
5515;5515
5516;5516
5601;5601
5602;5602
5603;5603
5604;5604
5605;5605
5606;5606
5607;5607
5608;5608
5609;5609
5701;5701
5702;5702
5703;5703
5704;5704
5705;5705
5801;5801
5802;5802
5803;5803
5804;5804
5805;5805
5806;5806
5807;5807
5808;5808
5809;5809
5810;5810
5811;5811
5901;5901
5902;5902
5903;5903
5904;5904
5905;5905
5906;5906
5907;5907
5908;5908
5909;5909
5910;5910
5911;5911
6001;6001
6002;6002
6002;6003
6002;6004
6002;6005
6002;6006
6101;6101
6102;6102
6103;6103
6104;6104
6105;6105
6106;6106
6107;6107
6108;6108
6109;6109
6110;6110
6111;6111
6112;6112
6113;6113
6114;6114
6115;6115
6116;6116
6117;6117
6201;6201
6202;6202
6203;6203
6204;6204
6205;6205
6206;6206
6207;6207
6208;6208
6209;6209
6210;6210
6211;6211
6212;6212
