UF;Nome UF;Mesorregião Geográfica;Nome Mesorregião;Microrregião Geográfica;Nome Microrregião;Município;Cod Município Completo;Nome Município;Cod Município MDIC
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;1100205
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00338;1100338;Nova Mamoré;1100338
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00452;1100452;Buritis;1100452
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00700;1100700;Campo Novo de Rondônia;1100700
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00809;1100809;Candeias do Jamari;1100809
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;00940;1100940;Cujubim;1100940
11;Rondônia;01;Madeira-Guaporé;001;Porto Velho;01104;1101104;Itapuã do Oeste;1101104
11;Rondônia;01;Madeira-Guaporé;002;Guajará-Mirim;00080;1100080;Costa Marques;1100080
11;Rondônia;01;Madeira-Guaporé;002;Guajará-Mirim;00106;1100106;Guajará-Mirim;1100106
11;Rondônia;01;Madeira-Guaporé;002;Guajará-Mirim;01492;1101492;São Francisco do Guaporé;1101492
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;00023;1100023;Ariquemes;1100023
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;00130;1100130;Machadinho D'Oeste;1100130
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;00262;1100262;Rio Crespo;1100262
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;00403;1100403;Alto Paraíso;1100403
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;00601;1100601;Cacaulândia;1100601
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;01401;1101401;Monte Negro;1101401
11;Rondônia;02;Leste Rondoniense;003;Ariquemes;01757;1101757;Vale do Anari;1101757
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;00114;1100114;Jaru;1100114
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;00122;1100122;Ji-Paraná;1100122
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;00155;1100155;Ouro Preto do Oeste;1100155
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;00254;1100254;Presidente Médici;1100254
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01005;1101005;Governador Jorge Teixeira;1101005
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01302;1101302;Mirante da Serra;1101302
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01435;1101435;Nova União;1101435
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01559;1101559;Teixeirópolis;1101559
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01609;1101609;Theobroma;1101609
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01708;1101708;Urupá;1101708
11;Rondônia;02;Leste Rondoniense;004;Ji-Paraná;01807;1101807;Vale do Paraíso;1101807
11;Rondônia;02;Leste Rondoniense;005;Alvorada D'Oeste;00148;1100148;Nova Brasilândia D'Oeste;1100148
11;Rondônia;02;Leste Rondoniense;005;Alvorada D'Oeste;00320;1100320;São Miguel do Guaporé;1100320
11;Rondônia;02;Leste Rondoniense;005;Alvorada D'Oeste;00346;1100346;Alvorada D'Oeste;1100346
11;Rondônia;02;Leste Rondoniense;005;Alvorada D'Oeste;01500;1101500;Seringueiras;1101500
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00015;1100015;Alta Floresta D'Oeste;1100015
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00049;1100049;Cacoal;1100049
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00098;1100098;Espigão D'Oeste;1100098
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00288;1100288;Rolim de Moura;1100288
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00296;1100296;Santa Luzia D'Oeste;1100296
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00379;1100379;Alto Alegre dos Parecis;1100379
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00502;1100502;Novo Horizonte do Oeste;1100502
11;Rondônia;02;Leste Rondoniense;006;Cacoal;00908;1100908;Castanheiras;1100908
11;Rondônia;02;Leste Rondoniense;006;Cacoal;01203;1101203;Ministro Andreazza;1101203
11;Rondônia;02;Leste Rondoniense;007;Vilhena;00189;1100189;Pimenta Bueno;1100189
11;Rondônia;02;Leste Rondoniense;007;Vilhena;00304;1100304;Vilhena;1100304
11;Rondônia;02;Leste Rondoniense;007;Vilhena;00924;1100924;Chupinguaia;1100924
11;Rondônia;02;Leste Rondoniense;007;Vilhena;01450;1101450;Parecis;1101450
11;Rondônia;02;Leste Rondoniense;007;Vilhena;01476;1101476;Primavera de Rondônia;1101476
11;Rondônia;02;Leste Rondoniense;007;Vilhena;01484;1101484;São Felipe D'Oeste;1101484
11;Rondônia;02;Leste Rondoniense;008;Colorado do Oeste;00031;1100031;Cabixi;1100031
11;Rondônia;02;Leste Rondoniense;008;Colorado do Oeste;00056;1100056;Cerejeiras;1100056
11;Rondônia;02;Leste Rondoniense;008;Colorado do Oeste;00064;1100064;Colorado do Oeste;1100064
11;Rondônia;02;Leste Rondoniense;008;Colorado do Oeste;00072;1100072;Corumbiara;1100072
11;Rondônia;02;Leste Rondoniense;008;Colorado do Oeste;01468;1101468;Pimenteiras do Oeste;1101468
12;Acre;01;Vale do Juruá;001;Cruzeiro do Sul;00203;1200203;Cruzeiro do Sul;1200203
12;Acre;01;Vale do Juruá;001;Cruzeiro do Sul;00336;1200336;Mâncio Lima;1200336
