Nome Município;Cod Município Completo
Porto Velho;1100205
Nova Mamore;1100338
Buritis;1100452
Campo Novo de Rondonia;1100700
Candeias do Jamari;1100809
Cujubim;1100940
Itapua do Oeste;1101104
Costa Marques;1100080
Guajara-Mirim;1100106
Sao Francisco do Guapore;1101492
Ariquemes;1100023
"Machadinho D'Oeste";1100130
Rio Crespo;1100262
Alto Paraiso;1100403
Cacaulandia;1100601
Monte Negro;1101401
Vale do Anari;1101757
Jaru;1100114
Ji-Parana;1100122
Ouro Preto do Oeste;1100155
Presidente Medici;1100254
Governador Jorge Teixeira;1101005
Mirante da Serra;1101302
Nova Uniao;1101435
Teixeiropolis;1101559
Theobroma;1101609
Urupa;1101708
Vale do Paraiso;1101807
"Nova Brasilandia D'Oeste";1100148
Sao Miguel do Guapore;1100320
"Alvorada D'Oeste";1100346
Seringueiras;1101500
"Alta Floresta D'Oeste";1100015
Cacoal;1100049
"Espigao D'Oeste";1100098
Rolim de Moura;1100288
"Santa Luzia D'Oeste";1100296
Alto Alegre dos Parecis;1100379
Novo Horizonte do Oeste;1100502
Castanheiras;1100908
Ministro Andreazza;1101203
Pimenta Bueno;1100189
Vilhena;1100304
Chupinguaia;1100924
Parecis;1101450
Primavera de Rondonia;1101476
"Sao Felipe D'Oeste";1101484
Cabixi;1100031
Cerejeiras;1100056
Colorado do Oeste;1100064
Corumbiara;1100072
Pimenteiras do Oeste;1101468
Cruzeiro do Sul;1200203
Mancio Lima;1200336
Marechal Thaumaturgo;1200351
Porto Walter;1200393
Rodrigues Alves;1200427
Feijo;1200302
Jordao;1200328
Tarauaca;1200609
Manoel Urbano;1200344
Santa Rosa do Purus;1200435
Sena Madureira;1200500
Acrelandia;1200013
Bujari;1200138
Capixaba;1200179
Placido de Castro;1200385
Rio Branco;1200401
Senador Guiomard;1200450
Porto Acre;1200807
Assis Brasil;1200054
Brasileia;1200104
Epitaciolandia;1200252
Xapuri;1200708
Barcelos;1300409
Novo Airao;1303205
Santa Isabel do Rio Negro;1303601
Sao Gabriel da Cachoeira;1303809
Japura;1302108
Maraa;1302801
Amatura;1300060
Atalaia do Norte;1300201
Benjamin Constant;1300607
Fonte Boa;1301605
Jutai;1302306
Santo Antonio do Ica;1303700
Sao Paulo de Olivenca;1303908
Tabatinga;1304062
Tonantins;1304237
Carauari;1301001
Eirunepe;1301407
Envira;1301506
Guajara;1301654
Ipixuna;1301803
Itamarati;1301951
Jurua;1302207
Alvaraes;1300029
Tefe;1304203
Uarini;1304260
Anama;1300086
Anori;1300102
Beruri;1300631
Caapiranga;1300839
Coari;1301209
Codajas;1301308
Autazes;1300300
Careiro;1301100
Careiro da Varzea;1301159
Iranduba;1301852
Manacapuru;1302504
Manaquiri;1302553
Manaus;1302603
Presidente Figueiredo;1303536
Rio Preto da Eva;1303569
Itacoatiara;1301902
Itapiranga;1302009
Nova Olinda do Norte;1303106
Silves;1304005
Urucurituba;1304401
Barreirinha;1300508
Boa Vista do Ramos;1300680
Maues;1302900
Nhamunda;1303007
Parintins;1303403
Sao Sebastiao do Uatuma;1303957
Urucara;1304302
Boca do Acre;1300706
Pauini;1303502
Canutama;1300904
Labrea;1302405
Tapaua;1304104
Apui;1300144
Borba;1300805
Humaita;1301704
Manicore;1302702
Novo Aripuana;1303304
Amajari;1400027
Alto Alegre;1400050
Boa Vista;1400100
Pacaraima;1400456
Bonfim;1400159
Canta;1400175
Normandia;1400407
Uiramuta;1400704
Caracarai;1400209
Iracema;1400282
Mucajai;1400308
Caroebe;1400233
Rorainopolis;1400472
Sao Joao da Baliza;1400506
Sao Luiz;1400605
Faro;1503002
Juruti;1503903
Obidos;1505106
Oriximina;1505304
Terra Santa;1507979
Alenquer;1500404
Belterra;1501451
Curua;1502855
Mojui dos Campos;1504752
Monte Alegre;1504802
Placas;1505650
Prainha;1506005
Santarem;1506807
Almeirim;1500503
Porto de Moz;1505908
Bagre;1501105
Gurupa;1503101
Melgaco;1504505
Portel;1505809
Afua;1500305
Anajas;1500701
Breves;1501808
Curralinho;1502806
Sao Sebastiao da Boa Vista;1507706
Cachoeira do Arari;1502004
Chaves;1502509
Muana;1504901
Ponta de Pedras;1505700
Salvaterra;1506302
Santa Cruz do Arari;1506401
Soure;1507904
Ananindeua;1500800
Barcarena;1501303
Belem;1501402
Benevides;1501501
Marituba;1504422
Santa Barbara do Para;1506351
Bujaru;1501907
Castanhal;1502400
Inhangapi;1503408
Santa Izabel do Para;1506500
Santo Antonio do Taua;1507003
Colares;1502608
Curuca;1502905
Magalhaes Barata;1504109
Maracana;1504307
Marapanim;1504406
Salinopolis;1506203
Sao Caetano de Odivelas;1507102
Sao Joao da Ponta;1507466
Sao Joao de Pirabas;1507474
Terra Alta;1507961
Vigia;1508209
Augusto Correa;1500909
Bonito;1501600
Braganca;1501709
Capanema;1502202
Igarape-Acu;1503200
Nova Timboteua;1505007
Peixe-Boi;1505601
Primavera;1506104
Quatipuru;1506112
Santa Maria do Para;1506609
Santarem Novo;1506906
Sao Francisco do Para;1507409
Tracuateua;1508035
Abaetetuba;1500107
Baiao;1501204
Cameta;1502103
Igarape-Miri;1503309
Limoeiro do Ajuru;1504000
Mocajuba;1504604
Oeiras do Para;1505205
Acara;1500206
Concordia do Para;1502756
Moju;1504703
Tailandia;1507953
Tome-Acu;1508001
Aurora do Para;1500958
Cachoeira do Piria;1501956
Capitao Poco;1502301
Garrafao do Norte;1503077
Ipixuna do Para;1503457
Irituia;1503507
Mae do Rio;1504059
Nova Esperanca do Piria;1504950
Ourem;1505403
Santa Luzia do Para;1506559
Sao Domingos do Capim;1507201
Sao Miguel do Guama;1507607
Viseu;1508308
Aveiro;1501006
Itaituba;1503606
Jacareacanga;1503754
Novo Progresso;1505031
Ruropolis;1506195
Trairao;1508050
Altamira;1500602
Anapu;1500859
Brasil Novo;1501725
Medicilandia;1504455
Pacaja;1505486
Senador Jose Porfirio;1507805
Uruara;1508159
Vitoria do Xingu;1508357
Breu Branco;1501782
Itupiranga;1503705
Jacunda;1503804
Nova Ipixuna;1504976
Novo Repartimento;1505064
Tucurui;1508100
Abel Figueiredo;1500131
Bom Jesus do Tocantins;1501576
Dom Eliseu;1502939
Goianesia do Para;1503093
Paragominas;1505502
Rondon do Para;1506187
Ulianopolis;1508126
Bannach;1501253
Cumaru do Norte;1502764
Ourilandia do Norte;1505437
Sao Felix do Xingu;1507300
Tucuma;1508084
Agua Azul do Norte;1500347
Canaa dos Carajas;1502152
Curionopolis;1502772
Eldorado dos Carajas;1502954
Parauapebas;1505536
Brejo Grande do Araguaia;1501758
Maraba;1504208
Palestina do Para;1505494
Sao Domingos do Araguaia;1507151
Sao Joao do Araguaia;1507508
"Pau D'Arco";1505551
Picarra;1505635
Redencao;1506138
Rio Maria;1506161
Sao Geraldo do Araguaia;1507458
Sapucaia;1507755
Xinguara;1508407
Conceicao do Araguaia;1502707
Floresta do Araguaia;1503044
Santa Maria das Barreiras;1506583
Santana do Araguaia;1506708
Calcoene;1600204
Oiapoque;1600501
Amapa;1600105
Pracuuba;1600550
Tartarugalzinho;1600709
Serra do Navio;1600055
Pedra Branca do Amapari;1600154
Cutias;1600212
Ferreira Gomes;1600238
Itaubal;1600253
Macapa;1600303
Porto Grande;1600535
Santana;1600600
Laranjal do Jari;1600279
Mazagao;1600402
Vitoria do Jari;1600808
Aguiarnopolis;1700301
Ananas;1701002
Angico;1701051
Araguatins;1702208
Augustinopolis;1702554
Axixa do Tocantins;1702901
Buriti do Tocantins;1703800
Cachoeirinha;1703826
Carrasco Bonito;1703891
Darcinopolis;1706506
Esperantina;1707405
Itaguatins;1710706
Luzinopolis;1712454
Maurilandia do Tocantins;1712801
Palmeiras do Tocantins;1713809
Nazare;1714302
Praia Norte;1718303
Riachinho;1718550
Sampaio;1718808
Santa Terezinha do Tocantins;1720002
Sao Bento do Tocantins;1720101
Sao Miguel do Tocantins;1720200
Sao Sebastiao do Tocantins;1720309
Sitio Novo do Tocantins;1720804
Tocantinopolis;1721208
Aragominas;1701309
Araguaina;1702109
Araguana;1702158
Arapoema;1702307
Babaculandia;1703008
Bandeirantes do Tocantins;1703057
Carmolandia;1703883
Colinas do Tocantins;1705508
Filadelfia;1707702
Muricilandia;1713957
Nova Olinda;1714880
Palmeirante;1715705
"Pau D'Arco";1716307
Piraque;1717206
Santa Fe do Araguaia;1718865
Wanderlandia;1722081
Xambioa;1722107
Abreulandia;1700251
Araguacema;1701903
Barrolandia;1703107
Bernardo Sayao;1703206
Brasilandia do Tocantins;1703602
Caseara;1703909
Couto Magalhaes;1706001
Divinopolis do Tocantins;1707108
Dois Irmaos do Tocantins;1707207
Fortaleza do Tabocao;1708254
Goianorte;1708304
Guarai;1709302
Itapora do Tocantins;1711100
Juarina;1711803
Marianopolis do Tocantins;1712504
Miracema do Tocantins;1713205
Miranorte;1713304
Monte Santo do Tocantins;1713700
Pequizeiro;1716653
Colmeia;1716703
Presidente Kennedy;1718402
Rio dos Bois;1718709
Tupirama;1721257
Tupiratins;1721307
Araguacu;1702000
Chapada de Areia;1704600
Cristalandia;1706100
Duere;1707306
Fatima;1707553
Formoso do Araguaia;1708205
Lagoa da Confusao;1711902
Nova Rosalandia;1715002
Oliveira de Fatima;1715507
Paraiso do Tocantins;1716109
Pium;1717503
Pugmil;1718451
Sandolandia;1718840
Alianca do Tocantins;1700350
Alvorada;1700707
Brejinho de Nazare;1703701
Cariri do Tocantins;1703867
Crixas do Tocantins;1706258
Figueiropolis;1707652
Gurupi;1709500
Jau do Tocantins;1711506
Palmeiropolis;1715754
Peixe;1716604
Santa Rita do Tocantins;1718899
Sao Salvador do Tocantins;1720259
Sucupira;1720853
Talisma;1720978
Aparecida do Rio Negro;1701101
Bom Jesus do Tocantins;1703305
Ipueiras;1709807
Lajeado;1712009
Monte do Carmo;1713601
Pedro Afonso;1716505
Porto Nacional;1718204
Santa Maria do Tocantins;1718881
Silvanopolis;1720655
Palmas;1721000
Tocantinia;1721109
Barra do Ouro;1703073
Campos Lindos;1703842
Centenario;1704105
Goiatins;1709005
Itacaja;1710508
Itapiratins;1710904
Lagoa do Tocantins;1711951
Lizarda;1712405
Mateiros;1712702
Novo Acordo;1715101
Ponte Alta do Tocantins;1717909
Recursolandia;1718501
Rio Sono;1718758
Santa Tereza do Tocantins;1719004
Sao Felix do Tocantins;1720150
Almas;1700400
Arraias;1702406
Aurora do Tocantins;1702703
Chapada da Natividade;1705102
Combinado;1705557
Conceicao do Tocantins;1705607
Dianopolis;1707009
Lavandeira;1712157
Natividade;1714203
Novo Alegre;1715150
Novo Jardim;1715259
Parana;1716208
Pindorama do Tocantins;1717008
Ponte Alta do Bom Jesus;1717800
Porto Alegre do Tocantins;1718006
Rio da Conceicao;1718659
Santa Rosa do Tocantins;1718907
Sao Valerio;1720499
Taguatinga;1720903
Taipas do Tocantins;1720937
Alcantara;2100204
