cod_mun_ibge	cod_mun_mdic
1100205	1100205
1100338	1100338
1100452	1100452
1100700	1100700
1100809	1100809
1100940	1100940
1101104	1101104
1100080	1100080
1100106	1100106
1101492	1101492
1100023	1100023
1100130	1100130
1100262	1100262
1100403	1100403
1100601	1100601
1101401	1101401
1101757	1101757
1100114	1100114
1100122	1100122
1100155	1100155
1100254	1100254
1101005	1101005
1101302	1101302
1101435	1101435
1101559	1101559
1101609	1101609
1101708	1101708
1101807	1101807
1100148	1100148
1100320	1100320
1100346	1100346
1101500	1101500
1100015	1100015
1100049	1100049
1100098	1100098
1100288	1100288
1100296	1100296
1100379	1100379
1100502	1100502
1100908	1100908
1101203	1101203
1100189	1100189
1100304	1100304
1100924	1100924
1101450	1101450
1101476	1101476
1101484	1101484
1100031	1100031
1100056	1100056
1100064	1100064
1100072	1100072
1101468	1101468
1200203	1200203
1200336	1200336
1200351	1200351
1200393	1200393
1200427	1200427
1200302	1200302
1200328	1200328
1200609	1200609
1200344	1200344
1200435	1200435
1200500	1200500
1200013	1200013
1200138	1200138
1200179	1200179
1200385	1200385
1200401	1200401
1200450	1200450
1200807	1200807
1200054	1200054
1200104	1200104
1200252	1200252
1200708	1200708
1300409	1300409
1303205	1303205
1303601	1303601
1303809	1303809
1302108	1302108
1302801	1302801
1300060	1300060
1300201	1300201
1300607	1300607
1301605	1301605
1302306	1302306
1303700	1303700
1303908	1303908
1304062	1304062
1304237	1304237
1301001	1301001
1301407	1301407
1301506	1301506
1301654	1301654
1301803	1301803
1301951	1301951
1302207	1302207
1300029	1300029
1304203	1304203
1304260	1304260
1300086	1300086
1300102	1300102
1300631	1300631
1300839	1300839
1301209	1301209
1301308	1301308
1300300	1300300
1301100	1301100
1301159	1301159
1301852	1301852
1302504	1302504
1302553	1302553
1302603	1302603
1303536	1303536
1303569	1303569
1301902	1301902
1302009	1302009
1303106	1303106
1304005	1304005
1304401	1304401
1300508	1300508
1300680	1300680
1302900	1302900
1303007	1303007
1303403	1303403
1303957	1303957
1304302	1304302
1300706	1300706
1303502	1303502
1300904	1300904
1302405	1302405
1304104	1304104
1300144	1300144
1300805	1300805
1301704	1301704
1302702	1302702
1303304	1303304
1400027	1400027
1400050	1400050
1400100	1400100
1400456	1400456
1400159	1400159
1400175	1400175
1400407	1400407
1400704	1400704
1400209	1400209
1400282	1400282
1400308	1400308
1400233	1400233
1400472	1400472
1400506	1400506
1400605	1400605
1503002	1503002
1503903	1503903
1505106	1505106
1505304	1505304
1507979	1507979
1500404	1500404
1501451	1501451
1502855	1502855
1504752	1504752
1504802	1504802
1505650	1505650
1506005	1506005
1506807	1506807
1500503	1500503
1505908	1505908
1501105	1501105
1503101	1503101
1504505	1504505
1505809	1505809
1500305	1500305
1500701	1500701
1501808	1501808
1502806	1502806
1507706	1507706
1502004	1502004
1502509	1502509
1504901	1504901
1505700	1505700
1506302	1506302
1506401	1506401
1507904	1507904
1500800	1500800
1501303	1501303
1501402	1501402
1501501	1501501
1504422	1504422
1506351	1506351
1501907	1501907
1502400	1502400
1503408	1503408
1506500	1506500
1507003	1507003
1502608	1502608
1502905	1502905
1504109	1504109
1504307	1504307
1504406	1504406
1506203	1506203
1507102	1507102
1507466	1507466
1507474	1507474
1507961	1507961
1508209	1508209
1500909	1500909
1501600	1501600
1501709	1501709
1502202	1502202
1503200	1503200
1505007	1505007
1505601	1505601
1506104	1506104
1506112	1506112
1506609	1506609
1506906	1506906
1507409	1507409
1508035	1508035
1500107	1500107
1501204	1501204
1502103	1502103
1503309	1503309
1504000	1504000
1504604	1504604
1505205	1505205
1500206	1500206
1502756	1502756
1504703	1504703
1507953	1507953
1508001	1508001
1500958	1500958
1501956	1501956
1502301	1502301
1503077	1503077
1503457	1503457
1503507	1503507
1504059	1504059
1504950	1504950
1505403	1505403
1506559	1506559
1507201	1507201
1507607	1507607
1508308	1508308
1501006	1501006
1503606	1503606
1503754	1503754
1505031	1505031
1506195	1506195
1508050	1508050
1500602	1500602
1500859	1500859
1501725	1501725
1504455	1504455
1505486	1505486
1507805	1507805
1508159	1508159
1508357	1508357
1501782	1501782
1503705	1503705
1503804	1503804
1504976	1504976
1505064	1505064
1508100	1508100
1500131	1500131
1501576	1501576
1502939	1502939
1503093	1503093
1505502	1505502
1506187	1506187
1508126	1508126
1501253	1501253
1502764	1502764
1505437	1505437
1507300	1507300
1508084	1508084
1500347	1500347
1502152	1502152
1502772	1502772
1502954	1502954
1505536	1505536
1501758	1501758
1504208	1504208
1505494	1505494
1507151	1507151
1507508	1507508
1505551	1505551
1505635	1505635
1506138	1506138
1506161	1506161
1507458	1507458
1507755	1507755
1508407	1508407
1502707	1502707
1503044	1503044
1506583	1506583
1506708	1506708
1600204	1600204
1600501	1600501
1600105	1600105
1600550	1600550
1600709	1600709
1600055	1600055
1600154	1600154
1600212	1600212
1600238	1600238
1600253	1600253
1600303	1600303
1600535	1600535
1600600	1600600
1600279	1600279
1600402	1600402
1600808	1600808
1700301	1700301
1701002	1701002
1701051	1701051
1702208	1702208
1702554	1702554
1702901	1702901
1703800	1703800
1703826	1703826
1703891	1703891
1706506	1706506
1707405	1707405
1710706	1710706
1712454	1712454
1712801	1712801
1713809	1713809
1714302	1714302
1718303	1718303
1718550	1718550
1718808	1718808
1720002	1720002
1720101	1720101
1720200	1720200
1720309	1720309
1720804	1720804
1721208	1721208
1701309	1701309
1702109	1702109
1702158	1702158
1702307	1702307
1703008	1703008
1703057	1703057
1703883	1703883
1705508	1705508
1707702	1707702
1713957	1713957
1714880	1714880
1715705	1715705
1716307	1716307
1717206	1717206
1718865	1718865
1722081	1722081
1722107	1722107
1700251	1700251
1701903	1701903
1703107	1703107
1703206	1703206
1703602	1703602
1703909	1703909
1706001	1706001
1707108	1707108
1707207	1707207
1708254	1708254
1708304	1708304
1709302	1709302
1711100	1711100
1711803	1711803
1712504	1712504
1713205	1713205
1713304	1713304
1713700	1713700
1716653	1716653
1716703	1716703
1718402	1718402
1718709	1718709
1721257	1721257
1721307	1721307
1702000	1702000
1704600	1704600
1706100	1706100
1707306	1707306
1707553	1707553
1708205	1708205
1711902	1711902
1715002	1715002
1715507	1715507
1716109	1716109
1717503	1717503
1718451	1718451
1718840	1718840
1700350	1700350
1700707	1700707
1703701	1703701
1703867	1703867
1706258	1706258
1707652	1707652
1709500	1709500
1711506	1711506
1715754	1715754
1716604	1716604
1718899	1718899
1720259	1720259
1720853	1720853
1720978	1720978
1701101	1701101
1703305	1703305
1709807	1709807
1712009	1712009
1713601	1713601
1716505	1716505
1718204	1718204
1718881	1718881
1720655	1720655
1721000	1721000
1721109	1721109
1703073	1703073
1703842	1703842
1704105	1704105
1709005	1709005
1710508	1710508
1710904	1710904
1711951	1711951
1712405	1712405
1712702	1712702
1715101	1715101
1717909	1717909
1718501	1718501
1718758	1718758
1719004	1719004
1720150	1720150
1700400	1700400
1702406	1702406
1702703	1702703
1705102	1705102
1705557	1705557
1705607	1705607
1707009	1707009
1712157	1712157
1714203	1714203
1715150	1715150
1715259	1715259
1716208	1716208
1717008	1717008
1717800	1717800
1718006	1718006
1718659	1718659
1718907	1718907
1720499	1720499
1720903	1720903
1720937	1720937
2100204	2100204
2100832	2100832
2101301	2101301
2101350	2101350
2101905	2101905
2102408	2102408
2103109	2103109
2103125	2103125
2103703	2103703
2104909	2104909
2106805	2106805
2109056	2109056
2111789	2111789
2107506	2107506
2109452	2109452
2111201	2111201
2111300	2111300
2101103	2101103
2101251	2101251
2102374	2102374
2105104	2105104
2107100	2107100
2109205	2109205
2109601	2109601
2110203	2110203
2101707	2101707
2105005	2105005
2108058	2108058
2109403	2109403
2110278	2110278
2112506	2112506
2100709	2100709
2101004	2101004
2101772	2101772
2102507	2102507
2103554	2103554
2105153	2105153
2106508	2106508
2106904	2106904
2107456	2107456
2107605	2107605
2108256	2108256
2108306	2108306
2108405	2108405
2108603	2108603
2109270	2109270
2109809	2109809
2110500	2110500
2111003	2111003
2111706	2111706
2112803	2112803
2112902	2112902
2102705	2102705
2105401	2105401
2106631	2106631
2106755	2106755
2107209	2107209
2108801	2108801
2109304	2109304
2112704	2112704
2100550	2100550
2101970	2101970
2102606	2102606
2102903	2102903
2103158	2103158
2103174	2103174
2104305	2104305
2104677	2104677
2105658	2105658
2106201	2106201
2106326	2106326
2106375	2106375
2112407	2112407
2112456	2112456
2100402	2100402
2100477	2100477
2100873	2100873
2102002	2102002
2102036	2102036
2102150	2102150
2102325	2102325
2104651	2104651
2105708	2105708
2105963	2105963
2106359	2106359
2107357	2107357
2108108	2108108
2108504	2108504
2109239	2109239
2109908	2109908
2110005	2110005
2110039	2110039
2111029	2111029
2112274	2112274
2113009	2113009
2114007	2114007
2100055	2100055
2100600	2100600
2102358	2102358
2103257	2103257
2103752	2103752
2104552	2104552
2105302	2105302
2105427	2105427
2105500	2105500
2105989	2105989
2107001	2107001
2109551	2109551
2110856	2110856
2111532	2111532
2111763	2111763
2112852	2112852
2101202	2101202
2101939	2101939
2102077	2102077
2104008	2104008
2105203	2105203
2105807	2105807
2105906	2105906
2105948	2105948
2106003	2106003
2107407	2107407
2108207	2108207
2108702	2108702
2108900	2108900
2110302	2110302
2111409	2111409
2111508	2111508
2111631	2111631
2111672	2111672
2111722	2111722
2112233	2112233
2100956	2100956
2101608	2101608
2104081	2104081
2104099	2104099
2104800	2104800
2105351	2105351
2105476	2105476
2105609	2105609
2109759	2109759
2111805	2111805
2112308	2112308
2103802	2103802
2104206	2104206
2104404	2104404
2104503	2104503
2104602	2104602
2104628	2104628
2104701	2104701
2109106	2109106
2110708	2110708
2111250	2111250
2111748	2111748
2100154	2100154
2100907	2100907
2106300	2106300
2110104	2110104
2110237	2110237
2110609	2110609
2100808	2100808
2101731	2101731
2102101	2102101
2102200	2102200
2103208	2103208
2106409	2106409
2106672	2106672
2110401	2110401
2112605	2112605
2100436	2100436
2102754	2102754
2103307	2103307
2103604	2103604
2108454	2108454
2112100	2112100
2100105	2100105
2100303	2100303
2103406	2103406
2103901	2103901
2102309	2102309
2103000	2103000
2106607	2106607
2107803	2107803
2111078	2111078
2112209	2112209
2101509	2101509
2103505	2103505
2105450	2105450
2105922	2105922
2106706	2106706
2107308	2107308
2107704	2107704
2107902	2107902
2108009	2108009
2110906	2110906
2111102	2111102
2111904	2111904
2111953	2111953
2102556	2102556
2102804	2102804
2104057	2104057
2109007	2109007
2111052	2111052
2111573	2111573
2100501	2100501
2101400	2101400
2104073	2104073
2109502	2109502
2112001	2112001
2101806	2101806
2104107	2104107
2106102	2106102
2107258	2107258
2109700	2109700
2110658	2110658
2110807	2110807
2111607	2111607
2201200	2201200
2201507	2201507
2201770	2201770
2201960	2201960
2202059	2202059
2202174	2202174
2203701	2203701
2205409	2205409
2205458	2205458
2205805	2205805
2205854	2205854
2206100	2206100
2206209	2206209
2206670	2206670
2206803	2206803
2208403	2208403
2208502	2208502
2209971	2209971
2201919	2201919
2202000	2202000
2202083	2202083
2202539	2202539
2202653	2202653
2202703	2202703
2202729	2202729
2204659	2204659
2205706	2205706
2206696	2206696
2207702	2207702
2208304	2208304
2209872	2209872
2210052	2210052
2200400	2200400
2201606	2201606
2202737	2202737
2203255	2203255
2203305	2203305
2205508	2205508
2205557	2205557
2205581	2205581
2206308	2206308
2206407	2206407
2206720	2206720
2207793	2207793
2211001	2211001
2211100	2211100
2200301	2200301
2201051	2201051
2201945	2201945
2202026	2202026
2202208	2202208
2202406	2202406
2202604	2202604
2202711	2202711
2203420	2203420
2205276	2205276
2205516	2205516
2205573	2205573
2206357	2206357
2206753	2206753
2206951	2206951
2207900	2207900
2209906	2209906
2210409	2210409
2210656	2210656
2200103	2200103
2200202	2200202
2200509	2200509
2200608	2200608
2201002	2201002
2201408	2201408
2204105	2204105
2204600	2204600
2205250	2205250
2205540	2205540
2207108	2207108
2207504	2207504
2207751	2207751
2208809	2208809
2209450	2209450
2209807	2209807
2210508	2210508
2200905	2200905
2201176	2201176
2203503	2203503
2204006	2204006
2204709	2204709
2205599	2205599
2206902	2206902
2208106	2208106
2208601	2208601
2209153	2209153
2209609	2209609
2210383	2210383
2211308	2211308
2211407	2211407
2201150	2201150
2208908	2208908
2209203	2209203
2211209	2211209
2200806	2200806
2201705	2201705
2202752	2202752
2203602	2203602
2205607	2205607
2205904	2205904
2206001	2206001
2208551	2208551
2210631	2210631
2202251	2202251
2203800	2203800
2203909	2203909
2204501	2204501
2205102	2205102
2205300	2205300
2206704	2206704
2207850	2207850
2209005	2209005
2209708	2209708
2210102	2210102
2210391	2210391
2200459	2200459
2201309	2201309
2201903	2201903
2203107	2203107
2203230	2203230
2204402	2204402
2206605	2206605
2207405	2207405
2208700	2208700
2209302	2209302
2209757	2209757
2200707	2200707
2201929	2201929
2201988	2201988
2202307	2202307
2202505	2202505
2202851	2202851
2203354	2203354
2203453	2203453
2203750	2203750
2204550	2204550
2205532	2205532
2207355	2207355
2209559	2209559
2210359	2210359
2210607	2210607
2210953	2210953
2211357	2211357
2201101	2201101
2202901	2202901
2203008	2203008
2203206	2203206
2205524	2205524
2206654	2206654
2207603	2207603
2208858	2208858
2210623	2210623
2200954	2200954
2201804	2201804
2202075	2202075
2202778	2202778
2203404	2203404
2204352	2204352
2204808	2204808
2207009	2207009
2207553	2207553
2208007	2208007
2209104	2209104
2209351	2209351
2209377	2209377
2209856	2209856
2209955	2209955
2210201	2210201
2210375	2210375
2210938	2210938
2210979	2210979
2211704	2211704
2200251	2200251
2200277	2200277
2204204	2204204
2206506	2206506
2208205	2208205
2209401	2209401
2210300	2210300
2200053	2200053
2201556	2201556
2201572	2201572
2201739	2201739
2202091	2202091
2202109	2202109
2202117	2202117
2202133	2202133
2202455	2202455
2202554	2202554
2202802	2202802
2203271	2203271
2203859	2203859
2204154	2204154
2204303	2204303
2204907	2204907
2205003	2205003
2205151	2205151
2205201	2205201
2205359	2205359
2205565	2205565
2205953	2205953
2206050	2206050
2207207	2207207
2207306	2207306
2207777	2207777
2207801	2207801
2207934	2207934
2207959	2207959
2208650	2208650
2208874	2208874
2209500	2209500
2209658	2209658
2210003	2210003
2210706	2210706
2210805	2210805
2210904	2210904
2211506	2211506
2211605	2211605
2300200	2300200
2302057	2302057
2302305	2302305
2302602	2302602
2303907	2303907
2304251	2304251
2304707	2304707
2306553	2306553
2307254	2307254
2307809	2307809
2307908	2307908
2308906	2308906
2303402	2303402
2304236	2304236
2305001	2305001
2305308	2305308
2312304	2312304
2313401	2313401
2313609	2313609
2314102	2314102
2304004	2304004
2304509	2304509
2308807	2308807
2313906	2313906
2300507	2300507
2308203	2308203
2303105	2303105
2304350	2304350
2304657	2304657
2304905	2304905
2306108	2306108
2308005	2308005
2308377	2308377
2309003	2309003
2309904	2309904
2312007	2312007
2312809	2312809
2312908	2312908
2305803	2305803
2305902	2305902
2310951	2310951
2311009	2311009
2311702	2311702
2313955	2313955
2303659	2303659
2305209	2305209
2312205	2312205
2300754	2300754
2306405	2306405
2313500	2313500
2310209	2310209
2310258	2310258
2312403	2312403
2306306	2306306
2313559	2313559
2313757	2313757
2313807	2313807
2300903	2300903
2304608	2304608
2310704	2310704
2312601	2312601
2313351	2313351
2302800	2302800
2303006	2303006
2306603	2306603
2310407	2310407
2300150	2300150
2301208	2301208
2301406	2301406
2302107	2302107
2302909	2302909
2305100	2305100
2306504	2306504
2309102	2309102
2309805	2309805
2310100	2310100
2311603	2311603
2301950	2301950
2303956	2303956
2309458	2309458
2302206	2302206
2303501	2303501
2310852	2310852
2301000	2301000
2303709	2303709
2304285	2304285
2304400	2304400
2304954	2304954
2306256	2306256
2307650	2307650
2307700	2307700
2309706	2309706
2305233	2305233
2309607	2309607
2301257	2301257
2304103	2304103
2305605	2305605
2305654	2305654
2308609	2308609
2309300	2309300
2309409	2309409
2311264	2311264
2313203	2313203
2301851	2301851
2302404	2302404
2303931	2303931
2305266	2305266
2307635	2307635
2311306	2311306
2311405	2311405
2300408	2300408
2301505	2301505
2303600	2303600
2310308	2310308
2311900	2311900
2313302	2313302
2300309	2300309
2304269	2304269
2308351	2308351
2308500	2308500
2310506	2310506
2310902	2310902
2312700	2312700
2313005	2313005
2301109	2301109
2304459	2304459
2305357	2305357
2306207	2306207
2300705	2300705
2305332	2305332
2307007	2307007
2307601	2307601
2308708	2308708
2310001	2310001
2311504	2311504
2311801	2311801
2312502	2312502
2313104	2313104
2306702	2306702
2306801	2306801
2306900	2306900
2304277	2304277
2306009	2306009
2310803	2310803
2311231	2311231
2303808	2303808
2305407	2305407
2305506	2305506
2309508	2309508
2311355	2311355
2300804	2300804
2303303	2303303
2307403	2307403
2313252	2313252
2314003	2314003
2301802	2301802
2305704	2305704
2307502	2307502
2313708	2313708
2301307	2301307
2301604	2301604
2302701	2302701
2311207	2311207
2311959	2311959
2300606	2300606
2303204	2303204
2304301	2304301
2304806	2304806
2301703	2301703
2302008	2302008
2308104	2308104
2301901	2301901
2304202	2304202
2307106	2307106
2307304	2307304
2308401	2308401
2309201	2309201
2311108	2311108
2312106	2312106
2300101	2300101
2302503	2302503
2307205	2307205
2308302	2308302
2310605	2310605
2401107	2401107
2401453	2401453
2404408	2404408
2408003	2408003
2411056	2411056
2413359	2413359
2401008	2401008
2402303	2402303
2403707	2403707
2404309	2404309
2401305	2401305
2405207	2405207
2407609	2407609
2408706	2408706
2414456	2414456
2414605	2414605
2400208	2400208
2400703	2400703
2402501	2402501
2404705	2404705
2404853	2404853
2406106	2406106
2409902	2409902
2410256	2410256
2412807	2412807
2400406	2400406
2402907	2402907
2403202	2403202
2403301	2403301
2407005	2407005
2407252	2407252
2410801	2410801
2412500	2412500
2414753	2414753
2400505	2400505
2403905	2403905
2404903	2404903
2406007	2406007
2407302	2407302
2408607	2408607
2409407	2409407
2410009	2410009
2410207	2410207
2410504	2410504
2410702	2410702
2411007	2411007
2411908	2411908
2413607	2413607
2413805	2413805
2414100	2414100
2414902	2414902
2400604	2400604
2400901	2400901
2404002	2404002
2405900	2405900
2406908	2406908
2407401	2407401
2408409	2408409
2409308	2409308
2410603	2410603
2413557	2413557
2414506	2414506
2401859	2401859
2404101	2404101
2404507	2404507
2407203	2407203
2411601	2411601
2400307	2400307
2400802	2400802
2401909	2401909
2403756	2403756
2405504	2405504
2406700	2406700
2409605	2409605
2409704	2409704
2401651	2401651
2402709	2402709
2403806	2403806
2406502	2406502
2411403	2411403
2413003	2413003
2414159	2414159
2402006	2402006
2404804	2404804
2405603	2405603
2411809	2411809
2412104	2412104
2413409	2413409
2414308	2414308
2400109	2400109
2402402	2402402
2403004	2403004
2403103	2403103
2403400	2403400
2405702	2405702
2408508	2408508
2408904	2408904
2411429	2411429
2412401	2412401
2401602	2401602
2405108	2405108
2405801	2405801
2408805	2408805
2410108	2410108
2401503	2401503
2402105	2402105
2402808	2402808
2405009	2405009
2405405	2405405
2406403	2406403
2406809	2406809
2407906	2407906
2411106	2411106
2411205	2411205
2411700	2411700
2412302	2412302
2412906	2412906
2413300	2413300
2413706	2413706
2414001	2414001
2401701	2401701
2401800	2401800
2404606	2404606
2405306	2405306
2406155	2406155
2406205	2406205
2406304	2406304
2406601	2406601
2407807	2407807
2408300	2408300
2409100	2409100
2409209	2409209
2409332	2409332
2410306	2410306
2410900	2410900
2411502	2411502
2412609	2412609
2412708	2412708
2413102	2413102
2413508	2413508
2414704	2414704
2414803	2414803
2407500	2407500
2408953	2408953
2409506	2409506
2410405	2410405
2412559	2412559
2413904	2413904
2414407	2414407
2402600	2402600
2407104	2407104
2408201	2408201
2412005	2412005
2412203	2412203
2403251	2403251
2403608	2403608
2408102	2408102
2401206	2401206
2401404	2401404
2402204	2402204
2403509	2403509
2404200	2404200
2407708	2407708
2409803	2409803
2413201	2413201
2414209	2414209
2415008	2415008
2502003	2502003
2502300	2502300
2502805	2502805
2502904	2502904
2504306	2504306
2507408	2507408
2508109	2508109
2509370	2509370
2512804	2512804
2513901	2513901
2514651	2514651
2500700	2500700
2502052	2502052
2502201	2502201
2502409	2502409
2503308	2503308
2503704	2503704
2504108	2504108
2509602	2509602
2512036	2512036
2512077	2512077
2513307	2513307
2513653	2513653
2514503	2514503
2516805	2516805
2516904	2516904
2500775	2500775
2503753	2503753
2504504	2504504
2505501	2505501
2508406	2508406
2508802	2508802
2509156	2509156
2510006	2510006
2510907	2510907
2512101	2512101
2513208	2513208
2513927	2513927
2513968	2513968
2513984	2513984
2514206	2514206
2516201	2516201
2517209	2517209
2501153	2501153
2503407	2503407
2508703	2508703
2510709	2510709
2510808	2510808
2512606	2512606
2513802	2513802
2514404	2514404
2514602	2514602
2500205	2500205
2502607	2502607
2504207	2504207
2504801	2504801
2505907	2505907
2510204	2510204
2510402	2510402
2511301	2511301
2513604	2513604
2502102	2502102
2504405	2504405
2505303	2505303
2505600	2505600
2506608	2506608
2507002	2507002
2511004	2511004
2513356	2513356
2513505	2513505
2514305	2514305
2515708	2515708
2500106	2500106
2503555	2503555
2505402	2505402
2506707	2506707
2508000	2508000
2509008	2509008
2509396	2509396
2512309	2512309
2514552	2514552
2516607	2516607
2516706	2516706
2507804	2507804
2513000	2513000
2513406	2513406
2514701	2514701
2514909	2514909
2517100	2517100
2501534	2501534
2505006	2505006
2506202	2506202
2507705	2507705
2510303	2510303
2511103	2511103
2511400	2511400
2515401	2515401
2516755	2516755
2500734	2500734
2501351	2501351
2503902	2503902
2504702	2504702
2504850	2504850
2508505	2508505
2509701	2509701
2510600	2510600
