From HS 2022	From HS 2007
010121	010110
010129	010190
010130	010190
010190	010190
010221	010210
010229	010290
010231	010210
010239	010290
010290	010290
010310	010310
010391	010391
010392	010392
010410	010410
010420	010420
010511	010511
010512	010512
010513	010519
010514	010519
010515	010519
010594	010594
010599	010599
010611	010611
010612	010612
010613	010619
010614	010619
010619	010619
010620	010620
010631	010631
010632	010632
010633	010639
010639	010639
010641	010690
010649	010690
010690	010690
020110	020110
020120	020120
020130	020130
020210	020210
020220	020220
020230	020230
020311	020311
020312	020312
020319	020319
020321	020321
020322	020322
020329	020329
020410	020410
020421	020421
020422	020422
020423	020423
020430	020430
020441	020441
020442	020442
020443	020443
020450	020450
020500	020500
020610	020610
020621	020621
020622	020622
020629	020629
020630	020630
020641	020641
020649	020649
020680	020680
020690	020690
020711	020711
020712	020712
020713	020713
020714	020714
020724	020724
020725	020725
020726	020726
020727	020727
020741	020732
020742	020733
020743	020734
020744	020735
020745	020736
020751	020732
020752	020733
020753	020734
020754	020735
020755	020736
020760	020736
020810	020810
020830	020830
020840	020840
020850	020850
020860	020890
020890	020890
020910	020900
020990	020900
021011	021011
021012	021012
021019	021019
021020	021020
021091	021091
021092	021092
021093	021093
021099	021099
030111	030110
030119	030110
030191	030191
030192	030192
030193	030193
030194	030194
030195	030195
030199	030199
030211	030211
030213	030212
030214	030212
030219	030219
030221	030221
030222	030222
030223	030223
030224	030229
030229	030229
030231	030231
030232	030232
030233	030233
030234	030234
030235	030235
030236	030236
030239	030239
030241	030240
030242	030269
030243	030261
030244	030264
030245	030269
030246	030269
030247	030267
030249	030269
030251	030250
030252	030262
030253	030263
030254	030269
030255	030269
030256	030269
030259	030269
030271	030269
030272	030269
030273	030269
030274	030266
030279	030269
030281	030265
030282	030269
030283	030268
030284	030269
030285	030269
030289	030269
030291	030270
030292	030265
030299	030212
030311	030311
030312	030319
030313	030322
030314	030321
030319	030329
030323	030379
030324	030379
030325	030379
030326	030376
030329	030379
030331	030331
030332	030332
030333	030333
030334	030339
030339	030339
030341	030341
030342	030342
030343	030343
030344	030344
030345	030345
030346	030346
030349	030349
030351	030351
030353	030371
030354	030374
030355	030379
030356	030379
030357	030361
030359	030379
030363	030352
030364	030372
030365	030373
030366	030378
030367	030379
030368	030379
030369	030379
030381	030375
030382	030379
030383	030362
030384	030377
030389	030379
030391	030380
030392	030375
030399	030379
030431	030419
030432	030419
030433	030419
030439	030419
030441	030419
030442	030419
030443	030419
030444	030419
030445	030411
030446	030412
030447	030419
030448	030419
030449	030419
030451	030419
030452	030419
030453	030419
030454	030411
030455	030412
030456	030419
030457	030419
030459	030419
030461	030429
030462	030429
030463	030429
030469	030429
030471	030429
030472	030429
030473	030429
030474	030429
030475	030429
030479	030429
030481	030429
030482	030429
030483	030429
030484	030421
030485	030422
030486	030429
030487	030429
030488	030429
030489	030429
030491	030491
030492	030492
030493	030499
030494	030499
030495	030499
030496	030499
030497	030499
030499	030499
030520	030520
030531	030530
030532	030530
030539	030530
030541	030541
030542	030542
030543	030549
030544	030549
030549	030549
030551	030551
030552	030559
030553	030559
030554	030559
030559	030559
030561	030561
030562	030562
030563	030563
030564	030569
030569	030569
030571	030559
030572	030551
030579	030551
030611	030611
030612	030612
030614	030614
030615	030619
030616	030613
030617	030613
030619	030619
030631	030621
030632	030622
030633	160510
030634	160540
030635	160520
030636	160520
030639	160540
030691	030621
030692	030622
030693	160510
030694	160540
030695	160520
030699	160540
030711	030710
030712	160590
030719	160590
030721	030721
030722	030799
030729	030729
030731	030731
030732	160590
030739	030739
030742	030741
030743	030799
030749	030749
030751	030751
030752	160590
030759	030759
030760	030760
030771	030791
030772	030799
030779	030799
030781	030791
030782	030791
030783	030799
030784	030799
030787	030799
030788	030799
030791	030791
030792	030799
030799	030799
030811	030791
030812	160590
030819	160590
030821	030791
030822	160590
030829	160590
030830	160590
030890	160590
030910	030510
030990	160590
040110	040110
040120	040120
040140	040130
040150	040130
040210	040210
040221	040221
040229	040229
040291	040291
040299	040299
040320	040310
040390	040390
040410	040410
040490	040490
040510	040510
040520	040520
040590	040590
040610	040610
040620	040620
040630	040630
040640	040640
040690	040690
040711	040700
040719	040700
040721	040700
040729	040700
040790	040700
040811	040811
040819	040819
040891	040891
040899	040899
040900	040900
041010	041000
041090	041000
050100	050100
050210	050210
050290	050290
050400	050400
050510	050510
050590	050590
050610	050610
050690	050690
050710	050710
050790	050790
050800	050800
051000	051000
051110	051110
051191	051191
051199	051199
060110	060110
060120	060120
060210	060210
060220	060220
060230	060230
060240	060240
060290	060290
060311	060311
060312	060312
060313	060313
060314	060314
060315	060319
060319	060319
060390	060390
060420	060491
060490	060499
070110	070110
070190	070190
070200	070200
070310	070310
070320	070320
070390	070390
070410	070410
070420	070420
070490	070490
070511	070511
070519	070519
070521	070521
070529	070529
070610	070610
070690	070690
070700	070700
070810	070810
070820	070820
070890	070890
070920	070920
070930	070930
070940	070940
070951	070951
070952	070959
070953	070959
070954	070959
070955	070959
070956	070959
070959	070959
070960	070960
070970	070970
070991	070990
070992	070990
070993	070990
070999	070990
071010	071010
071021	071021
071022	071022
071029	071029
071030	071030
071040	071040
071080	071080
071090	071090
071120	071120
071140	071140
071151	071151
071159	071159
071190	071190
071220	071220
071231	071231
071232	071232
071233	071233
071234	071239
071239	071239
071290	071290
071310	071310
071320	071320
071331	071331
071332	071332
071333	071333
071334	071339
071335	071339
071339	071339
071340	071340
071350	071350
071360	071390
071390	071390
071410	071410
071420	071420
071430	071490
071440	071490
071450	071490
071490	071490
080111	080111
080112	080119
080119	080119
080121	080121
080122	080122
080131	080131
080132	080132
080211	080211
080212	080212
080221	080221
080222	080222
080231	080231
080232	080232
080241	080240
080242	080240
080251	080250
080252	080250
080261	080260
080262	080260
080270	080290
080280	080290
080291	080290
080292	080290
080299	080290
080310	080300
080390	080300
080410	080410
080420	080420
080430	080430
080440	080440
080450	080450
080510	080510
080521	080520
080522	080520
080529	080520
080540	080540
080550	080550
080590	080590
080610	080610
080620	080620
080711	080711
080719	080719
080720	080720
080810	080810
080830	080820
080840	080820
080910	080910
080921	080920
080929	080920
080930	080930
080940	080940
081010	081010
081020	081020
081030	081090
081040	081040
081050	081050
081060	081060
081070	081090
081090	081090
081110	081110
081120	081120
081190	081190
081210	081210
081290	081290
081310	081310
081320	081320
081330	081330
081340	081340
081350	081350
081400	081400
090111	090111
090112	090112
090121	090121
090122	090122
090190	090190
090210	090210
090220	090220
090230	090230
090240	090240
090300	090300
090411	090411
090412	090412
090421	090420
090422	090420
090510	090500
090520	090500
090611	090611
090619	090619
090620	090620
090710	090700
090720	090700
090811	090810
090812	090810
090821	090820
090822	090820
090831	090830
090832	090830
090921	090920
090922	090920
090931	090930
090932	090930
090961	090910
090962	090910
091011	091010
091012	091010
091020	091020
091030	091030
091091	091091
091099	091099
100111	100110
100119	100110
100191	100190
100199	100190
100210	100200
100290	100200
100310	100300
100390	100300
100410	100400
100490	100400
100510	100510
100590	100590
100610	100610
100620	100620
100630	100630
100640	100640
100710	100700
100790	100700
100810	100810
100821	100820
100829	100820
100830	100830
100840	100890
100850	100890
100860	100890
100890	100890
110100	110100
110220	110220
110290	110290
110311	110311
110313	110313
110319	110319
110320	110320
110412	110412
110419	110419
110422	110422
110423	110423
110429	110429
110430	110430
110510	110510
110520	110520
110610	110610
110620	110620
110630	110630
110710	110710
110720	110720
110811	110811
110812	110812
110813	110813
110814	110814
110819	110819
110820	110820
110900	110900
120110	120100
120190	120100
120230	120220
120241	120210
120242	120220
120300	120300
120400	120400
120510	120510
120590	120590
120600	120600
120710	120799
120721	120720
120729	120720
120730	120799
120740	120740
120750	120750
120760	120799
120770	120799
120791	120791
120799	120799
120810	120810
120890	120890
120910	120910
120921	120921
120922	120922
120923	120923
120924	120924
120925	120925
120929	120929
120930	120930
120991	120991
120999	120999
121010	121010
121020	121020
121120	121120
121130	121130
121140	121140
121150	121190
121160	121190
121190	121190
121221	121220
121229	121220
121291	121291
121292	121299
121293	121299
121294	121299
121299	121299
121300	121300
121410	121410
121490	121490
130120	130120
130190	130190
130211	130211
130212	130212
130213	130213
130214	130219
130219	130219
130220	130220
130231	130231
130232	130232
130239	130239
140110	140110
140120	140120
140190	140190
140420	140420
140490	140490
150110	150100
150120	150100
150190	150100
150210	150200
150290	150200
150300	150300
150410	150410
150420	150420
150430	150430
150500	150500
150600	150600
150710	150710
150790	150790
150810	150810
150890	150890
150920	150910
150930	150910
150940	150910
150990	150990
151010	151000
151090	151000
151110	151110
151190	151190
151211	151211
151219	151219
151221	151221
151229	151229
151311	151311
151319	151319
151321	151321
151329	151329
151411	151411
151419	151419
151491	151491
151499	151499
151511	151511
151519	151519
151521	151521
151529	151529
151530	151530
151550	151550
151560	151590
151590	151590
151610	151610
151620	151620
151630	151620
151710	151710
151790	151790
151800	151800
152000	152000
152110	152110
152190	152190
152200	152200
160100	160100
160210	160210
160220	160220
160231	160231
160232	160232
160239	160239
160241	160241
160242	160242
160249	160249
160250	160250
160290	160290
160300	160300
160411	160411
160412	160412
160413	160413
160414	160414
160415	160415
160416	160416
160417	160419
160418	160419
160419	160419
160420	160420
160431	160430
160432	160430
160510	160510
160521	160520
160529	160520
160530	160530
160540	160540
160551	160590
160552	160590
160553	160590
160554	160590
160555	160590
160556	160590
160557	160590
160558	160590
160559	160590
160561	160590
160562	160590
160563	160590
160569	160590
170112	170112
170113	170111
170114	170111
170191	170191
170199	170199
170211	170211
170219	170219
170220	170220
170230	170230
170240	170240
170250	170250
170260	170260
170290	170290
170310	170310
170390	170390
170410	170410
170490	170490
180100	180100
180200	180200
180310	180310
180320	180320
180400	180400
180500	180500
180610	180610
180620	180620
180631	180631
180632	180632
180690	180690
190110	190110
190120	190120
190190	190190
190211	190211
190219	190219
190220	190220
190230	190230
190240	190240
190300	190300
190410	190410
190420	190420
190430	190430
190490	190490
190510	190510
190520	190520
190531	190531
190532	190532
190540	190540
190590	190590
200110	200110
200190	200190
200210	200210
200290	200290
200310	200310
200390	200390
200410	200410
200490	200490
200510	200510
200520	200520
200540	200540
200551	200551
200559	200559
200560	200560
200570	200570
200580	200580
200591	200591
200599	200599
200600	200600
200710	200710
200791	200791
200799	200799
200811	200811
200819	200819
200820	200820
200830	200830
200840	200840
200850	200850
200860	200860
200870	200870
200880	200880
200891	200891
200893	200899
200897	200892
200899	200899
200911	200911
200912	200912
200919	200919
200921	200921
200929	200929
200931	200931
200939	200939
200941	200941
200949	200949
200950	200950
200961	200961
200969	200969
200971	200971
200979	200979
200981	200980
200989	200980
200990	200990
210111	210111
210112	210112
210120	210120
210130	210130
210210	210210
210220	210220
210230	210230
210310	210310
210320	210320
210330	210330
210390	210390
210410	210410
210420	210420
210500	210500
210610	210610
210690	210690
220110	220110
220190	220190
220210	220210
220291	220290
220299	220290
220300	220300
220410	220410
220421	220421
220422	220429
220429	220429
220430	220430
220510	220510
220590	220590
220600	220600
220710	220710
220720	220720
220820	220820
220830	220830
220840	220840
220850	220850
220860	220860
220870	220870
220890	220890
220900	220900
230110	230110
230120	230120
230210	230210
230230	230230
230240	230240
230250	230250
230310	230310
230320	230320
230330	230330
